dbName	refName	Shape-it::Tanimoto	Shape-it::Tversky_Ref	Shape-it::Tversky_Db	overlap	refVolume	dbVolume
MOL_4918	PD1-PDL1.sdf	0.216	0.282	0.482	2759.6	10017	5494.1
MOL_4919	PD1-PDL1.sdf	0.222	0.288	0.492	2817.5	10017	5501.3
MOL_4920	PD1-PDL1.sdf	0.238	0.305	0.521	2982.5	10017	5500.3
MOL_4921	PD1-PDL1.sdf	0.257	0.345	0.501	3400	10017	6614.3
MOL_4922	PD1-PDL1.sdf	0.294	0.384	0.557	3778.6	10017	6609
MOL_4923	PD1-PDL1.sdf	0.263	0.352	0.512	3464.9	10017	6599.4
MOL_4924	PD1-PDL1.sdf	0.233	0.319	0.465	3136.4	10017	6574.2
MOL_4925	PD1-PDL1.sdf	0.227	0.312	0.454	3069.5	10017	6590.2
MOL_4926	PD1-PDL1.sdf	0.337	0.442	0.587	4363.3	10017	7298.3
MOL_4927	PD1-PDL1.sdf	0.281	0.385	0.51	3805.1	10017	7323.5
MOL_4928	PD1-PDL1.sdf	0.262	0.363	0.483	3591.2	10017	7302.6
MOL_4929	PD1-PDL1.sdf	0.192	0.282	0.376	2790.4	10017	7279.1
MOL_4930	PD1-PDL1.sdf	0.314	0.419	0.557	4136.1	10017	7296.3
MOL_4931	PD1-PDL1.sdf	0.313	0.418	0.554	4132	10017	7320.4
MOL_4932	PD1-PDL1.sdf	0.271	0.374	0.498	3693.8	10017	7285.6
MOL_4933	PD1-PDL1.sdf	0.279	0.382	0.509	3774.3	10017	7283.4
MOL_4934	PD1-PDL1.sdf	0.28	0.382	0.51	3777.3	10017	7271.7
MOL_4935	PD1-PDL1.sdf	0.23	0.315	0.461	3098.2	10017	6551
MOL_4936	PD1-PDL1.sdf	0.257	0.344	0.503	3385.1	10017	6550.5
MOL_4937	PD1-PDL1.sdf	0.222	0.306	0.447	3008.7	10017	6551.8
MOL_4938	PD1-PDL1.sdf	0.219	0.303	0.443	2981.1	10017	6553
MOL_4939	PD1-PDL1.sdf	0.223	0.307	0.449	3024	10017	6554.7
MOL_4940	PD1-PDL1.sdf	0.248	0.367	0.432	3650.3	10017	8373.3
MOL_4941	PD1-PDL1.sdf	0.296	0.422	0.496	4194.9	10017	8371.9
MOL_4942	PD1-PDL1.sdf	0.363	0.493	0.579	4898.6	10017	8383
MOL_4943	PD1-PDL1.sdf	0.329	0.459	0.539	4556.4	10017	8372.3
MOL_4944	PD1-PDL1.sdf	0.272	0.396	0.464	3933.6	10017	8392.2
MOL_4945	PD1-PDL1.sdf	0.252	0.373	0.438	3705	10017	8368.5
MOL_4946	PD1-PDL1.sdf	0.354	0.483	0.568	4802.4	10017	8366.2
MOL_4947	PD1-PDL1.sdf	0.28	0.405	0.476	4021.7	10017	8374
MOL_4948	PD1-PDL1.sdf	0.243	0.362	0.425	3592.5	10017	8363.9
MOL_4949	PD1-PDL1.sdf	0.271	0.395	0.464	3919.6	10017	8370.7
MOL_4950	PD1-PDL1.sdf	0.222	0.327	0.409	3242.3	10017	7808.6
MOL_4951	PD1-PDL1.sdf	0.264	0.376	0.47	3722.5	10017	7802.7
MOL_4952	PD1-PDL1.sdf	0.277	0.39	0.488	3863.6	10017	7801.7
MOL_4953	PD1-PDL1.sdf	0.31	0.427	0.533	4227.3	10017	7829.2
MOL_4954	PD1-PDL1.sdf	0.275	0.388	0.485	3843.9	10017	7822.6
MOL_4955	PD1-PDL1.sdf	0.336	0.452	0.566	4478.3	10017	7804.8
MOL_4956	PD1-PDL1.sdf	0.271	0.384	0.48	3802.9	10017	7806.1
MOL_4957	PD1-PDL1.sdf	0.246	0.356	0.445	3523.8	10017	7815.8
MOL_4958	PD1-PDL1.sdf	0.241	0.349	0.437	3454	10017	7792.8
MOL_4959	PD1-PDL1.sdf	0.219	0.324	0.405	3209.4	10017	7819.6
MOL_4960	PD1-PDL1.sdf	0.227	0.312	0.456	3067.7	10017	6552
MOL_4961	PD1-PDL1.sdf	0.241	0.327	0.478	3218.4	10017	6553.2
MOL_4962	PD1-PDL1.sdf	0.293	0.382	0.557	3762.2	10017	6579
MOL_4963	PD1-PDL1.sdf	0.257	0.345	0.502	3392.2	10017	6579.2
MOL_4964	PD1-PDL1.sdf	0.226	0.311	0.454	3063	10017	6570.7
MOL_4965	PD1-PDL1.sdf	0.24	0.326	0.476	3210.9	10017	6567.4
MOL_4966	PD1-PDL1.sdf	0.217	0.31	0.419	3065.7	10017	7175.3
MOL_4967	PD1-PDL1.sdf	0.2	0.29	0.393	2865.5	10017	7153
MOL_4968	PD1-PDL1.sdf	0.273	0.373	0.505	3685.2	10017	7156.2
MOL_4969	PD1-PDL1.sdf	0.204	0.295	0.399	2916	10017	7159.7
MOL_4970	PD1-PDL1.sdf	0.201	0.291	0.394	2874	10017	7156.3
MOL_4971	PD1-PDL1.sdf	0.283	0.383	0.518	3784.7	10017	7158.6
MOL_4972	PD1-PDL1.sdf	0.276	0.377	0.509	3719.7	10017	7167.6
MOL_4973	PD1-PDL1.sdf	0.269	0.369	0.501	3638.1	10017	7122.9
MOL_4974	PD1-PDL1.sdf	0.26	0.351	0.499	3457.8	10017	6763.3
MOL_4975	PD1-PDL1.sdf	0.259	0.35	0.498	3452.5	10017	6767.8
MOL_4976	PD1-PDL1.sdf	0.235	0.324	0.461	3195.4	10017	6770.3
MOL_4977	PD1-PDL1.sdf	0.237	0.327	0.465	3221	10017	6766.9
MOL_4978	PD1-PDL1.sdf	0.232	0.321	0.456	3158.5	10017	6767.1
MOL_4979	PD1-PDL1.sdf	0.346	0.437	0.622	4310.9	10017	6764.7
MOL_4980	PD1-PDL1.sdf	0.312	0.404	0.58	3977.1	10017	6690.8
MOL_4981	PD1-PDL1.sdf	0.29	0.382	0.545	3766.3	10017	6751.8
MOL_4982	PD1-PDL1.sdf	0.266	0.357	0.509	3519	10017	6745.4
MOL_4983	PD1-PDL1.sdf	0.257	0.375	0.451	3722.9	10017	8169.6
MOL_4984	PD1-PDL1.sdf	0.248	0.364	0.438	3612.7	10017	8150.9
MOL_4985	PD1-PDL1.sdf	0.243	0.358	0.431	3548.7	10017	8140.6
MOL_4986	PD1-PDL1.sdf	0.374	0.498	0.6	4945.4	10017	8152.1
MOL_4987	PD1-PDL1.sdf	0.279	0.399	0.48	3957.9	10017	8144.5
MOL_4988	PD1-PDL1.sdf	0.304	0.426	0.515	4224.1	10017	8113.4
MOL_4989	PD1-PDL1.sdf	0.179	0.277	0.337	2752.8	10017	8083.9
MOL_4990	PD1-PDL1.sdf	0.223	0.333	0.402	3299	10017	8101.4
MOL_4991	PD1-PDL1.sdf	0.24	0.355	0.427	3522.8	10017	8164.3
MOL_4992	PD1-PDL1.sdf	0.318	0.443	0.53	4394.1	10017	8198.4
MOL_4993	PD1-PDL1.sdf	0.264	0.377	0.47	3734.8	10017	7843.7
MOL_4994	PD1-PDL1.sdf	0.251	0.362	0.452	3587.6	10017	7835.7
MOL_4995	PD1-PDL1.sdf	0.252	0.362	0.452	3590.2	10017	7837
MOL_4996	PD1-PDL1.sdf	0.258	0.369	0.46	3657.6	10017	7835.7
MOL_4997	PD1-PDL1.sdf	0.256	0.367	0.458	3638.3	10017	7834.7
MOL_4998	PD1-PDL1.sdf	0.229	0.335	0.418	3322.7	10017	7842.3
MOL_4999	PD1-PDL1.sdf	0.289	0.404	0.503	3998	10017	7834.5
MOL_5000	PD1-PDL1.sdf	0.247	0.357	0.445	3536.1	10017	7837.3
MOL_5001	PD1-PDL1.sdf	0.237	0.344	0.432	3404.3	10017	7776.9
MOL_5002	PD1-PDL1.sdf	0.227	0.329	0.422	3256.4	10017	7592.4
MOL_5003	PD1-PDL1.sdf	0.262	0.369	0.474	3652.7	10017	7589.3
MOL_5004	PD1-PDL1.sdf	0.232	0.335	0.429	3313	10017	7602.6
MOL_5005	PD1-PDL1.sdf	0.26	0.367	0.472	3628	10017	7569.9
MOL_5006	PD1-PDL1.sdf	0.22	0.32	0.411	3169.4	10017	7584.1
MOL_5007	PD1-PDL1.sdf	0.257	0.364	0.468	3603.5	10017	7584.4
MOL_5008	PD1-PDL1.sdf	0.241	0.345	0.443	3413.3	10017	7588.2
MOL_5009	PD1-PDL1.sdf	0.287	0.395	0.511	3910	10017	7530.5
MOL_5010	PD1-PDL1.sdf	0.246	0.351	0.453	3468.6	10017	7535.8
MOL_5011	PD1-PDL1.sdf	0.204	0.301	0.387	2983.2	10017	7581
MOL_5012	PD1-PDL1.sdf	0.236	0.335	0.446	3305.9	10017	7277.3
MOL_5013	PD1-PDL1.sdf	0.261	0.362	0.482	3574.8	10017	7274.5
MOL_5014	PD1-PDL1.sdf	0.229	0.326	0.435	3218.5	10017	7268
MOL_5015	PD1-PDL1.sdf	0.246	0.345	0.46	3409.1	10017	7267.1
MOL_5016	PD1-PDL1.sdf	0.242	0.341	0.455	3373	10017	7279.2
MOL_5017	PD1-PDL1.sdf	0.254	0.355	0.473	3506.2	10017	7281
MOL_5018	PD1-PDL1.sdf	0.237	0.336	0.448	3316.2	10017	7265.9
MOL_5019	PD1-PDL1.sdf	0.23	0.327	0.436	3227.1	10017	7269.6
MOL_5020	PD1-PDL1.sdf	0.179	0.266	0.356	2623.9	10017	7225.7
MOL_5021	PD1-PDL1.sdf	0.224	0.288	0.501	2815.7	10017	5391.6
MOL_5022	PD1-PDL1.sdf	0.248	0.313	0.544	3060.6	10017	5391.6
MOL_5023	PD1-PDL1.sdf	0.248	0.313	0.544	3060.5	10017	5391.5
MOL_5024	PD1-PDL1.sdf	0.225	0.289	0.503	2826	10017	5384.9
MOL_5025	PD1-PDL1.sdf	0.227	0.292	0.507	2853.3	10017	5392.8
MOL_5026	PD1-PDL1.sdf	0.228	0.292	0.509	2858.9	10017	5386.2
MOL_5027	PD1-PDL1.sdf	0.301	0.364	0.635	3557.7	10017	5373.3
MOL_5028	PD1-PDL1.sdf	0.251	0.316	0.551	3087.8	10017	5372.6
MOL_5029	PD1-PDL1.sdf	0.247	0.343	0.468	3384.8	10017	7092.3
MOL_5030	PD1-PDL1.sdf	0.257	0.355	0.484	3502.7	10017	7091
MOL_5031	PD1-PDL1.sdf	0.291	0.389	0.535	3842.5	10017	7026.8
MOL_5032	PD1-PDL1.sdf	0.228	0.322	0.439	3180.5	10017	7105.2
MOL_5033	PD1-PDL1.sdf	0.193	0.28	0.385	2759.4	10017	7022.7
MOL_5034	PD1-PDL1.sdf	0.26	0.357	0.488	3526.8	10017	7083.5
MOL_5035	PD1-PDL1.sdf	0.215	0.306	0.418	3018.8	10017	7066.5
MOL_5036	PD1-PDL1.sdf	0.272	0.369	0.506	3645.5	10017	7054.4
MOL_5037	PD1-PDL1.sdf	0.253	0.349	0.478	3446.6	10017	7066
MOL_5038	PD1-PDL1.sdf	0.204	0.294	0.402	2900.7	10017	7071.6
MOL_5039	PD1-PDL1.sdf	0.193	0.297	0.354	2946	10017	8232.9
MOL_5040	PD1-PDL1.sdf	0.219	0.33	0.394	3280.1	10017	8233.6
MOL_5041	PD1-PDL1.sdf	0.251	0.368	0.44	3657.9	10017	8230.7
MOL_5042	PD1-PDL1.sdf	0.212	0.322	0.384	3195.5	10017	8225.4
MOL_5043	PD1-PDL1.sdf	0.207	0.315	0.377	3131.7	10017	8226
MOL_5044	PD1-PDL1.sdf	0.2	0.307	0.365	3044.7	10017	8249
MOL_5045	PD1-PDL1.sdf	0.259	0.378	0.451	3753.5	10017	8235.3
MOL_5046	PD1-PDL1.sdf	0.261	0.38	0.454	3771.3	10017	8223.2
MOL_5047	PD1-PDL1.sdf	0.318	0.443	0.528	4400.7	10017	8238.9
MOL_5048	PD1-PDL1.sdf	0.248	0.356	0.447	3530.7	10017	7778.2
MOL_5049	PD1-PDL1.sdf	0.255	0.365	0.458	3610.3	10017	7773.1
MOL_5050	PD1-PDL1.sdf	0.288	0.402	0.504	3979.4	10017	7788.2
MOL_5051	PD1-PDL1.sdf	0.26	0.371	0.466	3671.3	10017	7771
MOL_5052	PD1-PDL1.sdf	0.217	0.32	0.402	3170.4	10017	7779.7
MOL_5053	PD1-PDL1.sdf	0.283	0.396	0.497	3925.1	10017	7779.6
MOL_5054	PD1-PDL1.sdf	0.283	0.396	0.499	3923.6	10017	7757.9
